2026-05-09 08:54:21,932 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-05-09 08:54:21,962 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-05-09 08:54:21,962 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-05-09 08:54:21,963 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-05-09 08:54:21,963 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-05-09 08:54:21,963 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-05-09 08:54:21,965 INFO  SwAddin.cs: 201 - Setting up command manager
2026-05-09 08:54:21,965 INFO  SwAddin.cs: 204 - Adding command manager
2026-05-09 08:54:21,967 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-05-09 08:54:21,967 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-05-09 08:54:21,967 INFO  SwAddin.cs: 210 - Adding event handlers
2026-05-09 08:54:21,970 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-05-09 09:00:47,470 INFO  SwAddin.cs: 294 - Assembly export called for file 夹具第一版.SLDASM
2026-05-09 09:00:47,476 INFO  SwAddin.cs: 299 - Save is required
2026-05-09 09:00:47,476 INFO  SwAddin.cs: 313 - Saving assembly
2026-05-09 09:00:47,687 INFO  SwAddin.cs: 316 - Opening property manager
2026-05-09 09:00:47,746 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 夹具第一版.SLDASM
2026-05-09 09:00:47,751 INFO  ExportHelperExtension.cs: 1136 - Found 26 in 夹具第一版.SLDASM
2026-05-09 09:00:47,751 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in 夹具第一版.SLDASM
2026-05-09 09:00:47,751 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-05-09 09:00:47,753 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-05-09 09:00:47,753 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 夹具（第一版）-1
